Lat;Long
-19,92432496;-43,93493837
-19,91896798;-43,93796141
-19,92295439;-43,93657238
-19,91693657;-43,94293888
-19,91931697;-43,9425716
-19,91995378;-43,94637873
-19,91995378;-43,94637873
-19,91758792;-43,94602987
-19,91995378;-43,94637873
-19,92014739;-43,94086321
-19,91734667;-43,93584212
-19,92144176;-43,94245978
-19,91758792;-43,94602987
-19,91933999;-43,9381896
-19,92132486;-43,94507338
-19,92144176;-43,94245978
-19,92021158;-43,94099269
-19,91491808;-43,94037149
-19,92208588;-43,9443618
-19,91455894;-43,9434915
-19,91258206;-43,94019146
-19,91673966;-43,94531306
-19,9243315;-43,93572888
-19,91758792;-43,94602987
-19,91718466;-43,94195233
-19,91871647;-43,93590503
-19,92048537;-43,94287193
-19,91896798;-43,93796141
-19,92340251;-43,94131557
-19,91930132;-43,93716149
-19,91931697;-43,9425716
-19,91258206;-43,94019146
-19,92038261;-43,94284796
-19,91694675;-43,94329938
-19,92586363;-43,9377226
-19,91787471;-43,94597952
-19,91758792;-43,94602987
-19,9185632;-43,93468793
-19,91691994;-43,93540816
-19,9204977;-43,93749996
-19,91434232;-43,94348481
-19,92726351;-43,93327087
-19,92439701;-43,94989944
-19,9156778;-43,94289297
-19,90492517;-43,89463414
-19,91869156;-43,9350036
-19,91530745;-43,94288401
-19,91574912;-43,94296182
-19,9174419;-43,93936745
-19,91970177;-43,93492262
-19,92104063;-43,95109975
-19,91574912;-43,94296182
-19,92006617;-43,9550151
-19,9272305;-43,93701922
-19,91977431;-43,95649664
-19,91290804;-43,93807073
-19,92372928;-43,93726392
-19,914837;-43,93760764
-19,92186841;-43,94396218
-19,9151442;-43,93987189
-19,92424343;-43,93981147
-19,91581716;-43,93878865
-19,91780052;-43,94641458
-19,91758792;-43,94602987
-19,92397469;-43,93909929
-19,91909532;-43,94353495
-19,91287242;-43,940808
-19,9174419;-43,93936745
-19,9205944;-43,93743093
-19,92099674;-43,93709351
-19,91491284;-43,93550107
-19,92220448;-43,94100281
-19,92438809;-43,93757803
-19,91574912;-43,94296182
-19,91813749;-43,93953195
-19,92191122;-43,94405123
-19,92099674;-43,93709351
-19,92586363;-43,9377226
-19,92099674;-43,93709351
-19,91758792;-43,94602987
-19,91687291;-43,94382531
-19,91771137;-43,936749
-19,91858403;-43,9381109